USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539589643	25769317	     594.439	       9.950	 32.532237	 -86.646440                                                                                                   
AL	01003	00161527	Baldwin County	4117584013	1133129224	    1589.808	     437.504	 30.659218	 -87.746067                                                                                                 
AL	01005	00161528	Barbour County	2291820706	50864677	     884.877	      19.639	 31.870253	 -85.405104                                                                                                   
AL	01007	00161529	Bibb County	1612481559	9287974	     622.583	       3.586	 33.015893	 -87.127148                                                                                                       
AL	01009	00161530	Blount County	1670041875	15077458	     644.807	       5.821	 33.977358	 -86.566440                                                                                                    
AL	01011	00161531	Bullock County	1613059135	6055023	     622.806	       2.338	 32.101759	 -85.717261                                                                                                    
AL	01013	00161532	Butler County	2011976232	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                                     
AL	01015	00161533	Calhoun County	1569245411	16568577	     605.889	       6.397	 33.771706	 -85.822513                                                                                                   
AL	01017	00161534	Chambers County	1545009121	17048126	     596.531	       6.582	 32.915504	 -85.394032                                                                                                  
AL	01019	00161535	Cherokee County	1434128031	119806782	     553.720	      46.258	 34.069515	 -85.654242                                                                                                 
AL	01021	00161536	Chilton County	1794482899	20586310	     692.854	       7.948	 32.854051	 -86.726607                                                                                                   
AL	01023	00161537	Choctaw County	2365954971	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                                   
AL	01025	00161538	Clarke County	3207612185	36542657	    1238.466	      14.109	 31.685521	 -87.818624                                                                                                    
AL	01027	00161539	Clay County	1564252367	5284573	     603.961	       2.040	 33.270400	 -85.863525                                                                                                       
AL	01029	00161540	Cleburne County	1450663941	2354898	     560.105	       0.909	 33.671964	 -85.516126                                                                                                   
AL	01031	00161541	Coffee County	1758565487	3907876	     678.986	       1.509	 31.402258	 -85.989602                                                                                                     
AL	01033	00161542	Colbert County	1534878331	80030048	     592.620	      30.900	 34.703112	 -87.801457                                                                                                   
AL	01035	00161543	Conecuh County	2201896058	6643480	     850.157	       2.565	 31.430926	 -86.988722                                                                                                    
AL	01037	00161544	Coosa County	1685891509	39946563	     650.926	      15.423	 32.931445	 -86.243482                                                                                                     
AL	01039	00161545	Covington County	2668870080	34526155	    1030.457	      13.331	 31.243987	 -86.448721                                                                                                 
AL	01041	00161546	Crenshaw County	1576887783	5376390	     608.840	       2.076	 31.732826	 -86.319222                                                                                                   
AL	01043	00161547	Cullman County	1903376556	52118974	     734.898	      20.123	 34.131923	 -86.869267                                                                                                   
